,POPESTIMATE,X..Adults.with.Obesity,Trade_2020,Employment.Location.Quotient.Relative.to.U.S._1,Asian,num_competitor,college_cnt,income_median,pop_belowPovertyThreshold,selfstorage_count,shopping_mall_cnt,POPESTIMATE_nor,X..Adults.with.Obesity_nor,Trade_2020_nor,Employment.Location.Quotient.Relative.to.U.S._1_nor,Asian_nor,num_competitor_nor,college_cnt_nor,income_median_nor,pop_belowPovertyThreshold_nor,selfstorage_count_nor,shopping_mall_cnt_nor,Clusters,State,County,MF_exist,nm_MF
586,922921,26.3,19480489.0,1.11,112867,81,23,4794251.0,461.6,39,25,0.17859044320586848,0.33201581027667987,0.46093867568354924,0.9571428571428574,0.29231143766559015,0.11172413793103449,0.20535714285714285,0.26177873072783164,0.20496229193627563,0.2826086956521739,0.28735632183908044,-1,Illinois,DuPage,0,0
587,17161,31.1,51916.0,0.6,95,0,0,496067.0,144.8,0,0,0.002592097173720254,0.5217391304347826,0.0012284133261124576,0.22857142857142856,0.00024603813850134285,0.0,0.0,0.01645975351463749,0.0635905216654023,0.0,0.0,0,Illinois,Edgar,0,0
588,6395,30.4,25889.0,0.44,18,0,0,262134.0,62.4,0,0,0.0005001542822455722,0.4940711462450592,0.0006125740157124088,0.0,4.661775255814917e-05,0.0,0.0,0.0031080207138978896,0.0268195814181802,0.0,0.0,0,Illinois,Edwards,0,0
589,34008,28.8,359836.0,1.0,125,2,0,545533.0,68.3,0,1,0.005865639983740128,0.4308300395256917,0.008514279559577053,0.8000000000000002,0.0003237343927649248,0.002758620689655172,0.0,0.01928302690796543,0.029452452139765276,0.0,0.011494252873563218,0,Illinois,Effingham,0,0
590,21336,30.2,108937.0,0.9,114,0,0,536759.0,87.5,0,0,0.003403341978838849,0.4861660079051383,0.002577618894111888,0.6571428571428573,0.0002952457662016114,0.0,0.0,0.018782250601956065,0.038020438216787904,0.0,0.0,0,Illinois,Fayette,0,0
591,12961,29.2,117769.0,0.85,94,0,0,597075.0,77.6,0,0,0.0017759946152775953,0.44664031620553357,0.002786597754120849,0.5857142857142857,0.00024344826335922346,0.0,0.0,0.022224788061867277,0.03360257039582311,0.0,0.0,0,Illinois,Ford,0,0
592,38469,33.2,106686.0,0.88,201,0,0,910268.0,126.8,0,0,0.006732457486886009,0.6047430830039526,0.002524356732214224,0.6285714285714287,0.0005205649035659991,0.0,0.0,0.04010028767526957,0.055558034718193594,0.0,0.0,0,Illinois,Franklin,0,0
593,34340,25.3,145347.0,0.91,68,3,3,1365803.5,239.6,0,0,0.00593015094788369,0.29249011857707513,0.003439136137423287,0.6714285714285715,0.0001761115096641191,0.004137931034482759,0.026785714285714284,0.0660999896294672,0.10589495292070152,0.0,0.0,0,Illinois,Fulton,0,0
594,4828,26.2,0.0,0.74,6,0,0,389278.0,6.7,0,0,0.00019567030389327554,0.32806324110671936,0.0,0.4285714285714286,1.553925085271639e-05,0.0,0.0,0.010364768223728634,0.0019634968093176853,0.0,0.0,0,Illinois,Gallatin,0,0
595,12969,25.3,51579.0,0.91,14,0,0,639185.0,68.4,0,0,0.0017775490963412956,0.29249011857707513,0.0012204393818390177,0.6714285714285715,3.625825198967158e-05,0.0,0.0,0.024628217540560514,0.029497077067249775,0.0,0.0,0,Illinois,Greene,0,0
