,FIPS,State,County,MF_exist,location_score
2756,49021,Utah,Iron,0,74.86164285935354
479,13241,Georgia,Rabun,0,74.8527779443347
2934,53073,Washington,Whatcom,0,74.84813772134335
3049,55115,Wisconsin,Shawano,0,74.84545670222909
1522,29143,Missouri,NewMadrid,0,74.83687238995155
2249,42075,Pennsylvania,Lebanon,0,74.83368290969547
308,12031,Florida,Duval,0,74.82410599135645
206,6095,California,Solano,0,74.81334144733222
2405,47017,Tennessee,Carroll,0,74.79658776904863
522,16005,Idaho,Bannock,0,74.78565070426602
2148,40101,Oklahoma,Muskogee,0,74.76590569703141
967,21009,Kentucky,Barren,0,74.75922018958396
791,19065,Iowa,Fayette,0,74.7580249188299
1675,31111,Nebraska,Lincoln,0,74.75738030662109
1411,28085,Mississippi,Lincoln,0,74.7528767886411
77,4017,Arizona,Navajo,0,74.75252222209299
1879,37045,North Carolina,Cleveland,0,74.74346972123278
887,20059,Kansas,Franklin,0,74.74198624939478
2228,42033,Pennsylvania,Clearfield,0,74.72496553243609
125,5085,Arkansas,Lonoke,0,74.71415945723433
144,5125,Arkansas,Saline,0,74.70989038663622
1937,37161,North Carolina,Rutherford,0,74.70315409859478
849,19181,Iowa,Warren,0,74.70257027785482
1885,37057,North Carolina,Davidson,0,74.68619436195915
294,12001,Florida,Alachua,0,74.68494516881535
2082,39145,Ohio,Scioto,0,74.68415449912365
1029,21133,Kentucky,Letcher,0,74.6803805325525
2252,42081,Pennsylvania,Lycoming,0,74.6802539587746
775,19033,Iowa,CerroGordo,0,74.67857383938154
972,21019,Kentucky,Boyd,0,74.66979866366816
2474,47155,Tennessee,Sevier,0,74.65556741555883
1189,25009,Massachusetts,Essex,0,74.65545423794222
529,16019,Idaho,Bonneville,0,74.64730853078227
348,12113,Florida,SantaRosa,0,74.64627217457095
1961,38009,North Dakota,Bottineau,0,74.64070915453391
301,12015,Florida,Charlotte,0,74.62597927743026
2218,42013,Pennsylvania,Blair,0,74.6252663673748
1901,37089,North Carolina,Henderson,0,74.61423695289903
1934,37155,North Carolina,Robeson,0,74.60457116675589
2878,51165,Virginia,Rockingham,0,74.5894096484811
284,9005,Connecticut,Litchfield,0,74.57178234067631
3062,55139,Wisconsin,Winnebago,0,74.5568118577868
2121,40047,Oklahoma,Garfield,0,74.54889022939508
574,17019,Illinois,Champaign,1,74.5418115648842
707,18081,Indiana,Johnson,0,74.53661308709883
2211,41071,Oregon,Yamhill,0,74.52918153210724
1207,26017,Michigan,Bay,0,74.52201825606792
2675,48367,Texas,Parker,0,74.51377154524194
1605,30083,Montana,Richland,0,74.50968870347224
1572,30017,Montana,Custer,0,74.50924285836368
1978,38043,North Dakota,Kidder,0,74.50726663043733
2184,41019,Oregon,Douglas,0,74.47119123941869
1513,29127,Missouri,Marion,0,74.45768548388519
2291,45015,South Carolina,Berkeley,0,74.43799352112023
368,13015,Georgia,Bartow,0,74.43562640764291
1765,35007,New Mexico,Colfax,0,74.42141819066262
155,5145,Arkansas,White,0,74.38711892838214
1533,29165,Missouri,Platte,0,74.38604261855829
2402,47011,Tennessee,Bradley,0,74.3845657386993
7,1015,Alabama,Calhoun,0,74.38301832346217
2031,39043,Ohio,Erie,0,74.38016116893724
1653,31067,Nebraska,Gage,0,74.36500042145087
2918,53041,Washington,Lewis,0,74.34150990963363
1370,28003,Mississippi,Alcorn,0,74.33288718952251
2393,46127,South Dakota,Union,0,74.32463994485545
2107,40019,Oklahoma,Carter,0,74.31177219039147
2816,51047,Virginia,Culpeper,0,74.30193635090812
2007,38101,North Dakota,Ward,0,74.29739484736947
1699,31159,Nebraska,Seward,0,74.29607084934419
467,13217,Georgia,Newton,0,74.28979559188446
2310,45053,South Carolina,Jasper,0,74.28244449521927
2560,48135,Texas,Ector,0,74.27739192082934
1152,23013,Maine,Knox,0,74.27731312620587
110,5055,Arkansas,Greene,0,74.25923091149738
3027,55071,Wisconsin,Manitowoc,0,74.25427298099494
1847,36105,New York,Sullivan,0,74.24533674371412
302,12017,Florida,Citrus,0,74.24141730319033
636,17143,Illinois,Peoria,0,74.23989656162533
1217,26037,Michigan,Clinton,0,74.22328487071172
3009,55035,Wisconsin,EauClaire,0,74.21957639398205
3008,55033,Wisconsin,Dunn,0,74.21130927638845
645,17161,Illinois,RockIsland,0,74.20900376165798
1534,29167,Missouri,Polk,0,74.20578112415072
153,5141,Arkansas,VanBuren,0,74.18808155172957
447,13175,Georgia,Laurens,0,74.17658997444696
438,13157,Georgia,Jackson,0,74.16163688207278
2562,48139,Texas,Ellis,0,74.16096290755428
2915,53035,Washington,Kitsap,0,74.15817257101416
2535,48085,Texas,Collin,1,74.1550395863426
1693,31147,Nebraska,Richardson,0,74.15417816302448
2726,48469,Texas,Victoria,0,74.14900554639384
1840,36093,New York,Schenectady,0,74.14120340328878
1979,38045,North Dakota,LaMoure,0,74.13683947220943
1115,22067,Louisiana,MorehouseParish,0,74.13640973086758
1391,28045,Mississippi,Hancock,0,74.1360229189788
1952,37191,North Carolina,Wayne,0,74.12270474036973
2219,42015,Pennsylvania,Bradford,0,74.11629794215264
1139,22115,Louisiana,VernonParish,0,74.11432975745073
1025,21125,Kentucky,Laurel,0,74.10796578691414
203,6089,California,Shasta,0,74.1027221129829
389,13059,Georgia,Clarke,0,74.10223787852995
2088,39157,Ohio,Tuscarawas,0,74.10162535757637
198,6079,California,SanLuisObispo,0,74.08531830369785
2778,50005,Vermont,Caledonia,0,74.07628905434842
2892,51191,Virginia,Washington,0,74.07605251299422
367,13013,Georgia,Barrow,0,74.0715110726742
2269,42115,Pennsylvania,Susquehanna,0,74.06527600443006
1755,34031,New Jersey,Passaic,0,74.06195432733642
2133,40071,Oklahoma,Kay,0,74.0590906276831
1010,21095,Kentucky,Harlan,0,74.05137906397019
3054,55123,Wisconsin,Vernon,0,74.05067930119398
496,13275,Georgia,Thomas,0,74.0485666396413
1023,21121,Kentucky,Knox,0,74.04557020885561
765,19013,Iowa,BlackHawk,0,74.04226594181425
2092,39165,Ohio,Warren,0,74.0400515846239
200,6083,California,SantaBarbara,0,74.02716927748381
486,13255,Georgia,Spalding,0,74.02268197503734
1101,22039,Louisiana,EvangelineParish,0,74.01983261772766
2299,45031,South Carolina,Darlington,0,74.00637477386103
1305,27047,Minnesota,Freeborn,0,74.00333514980505
1009,21093,Kentucky,Hardin,0,74.0030082175515
876,20037,Kansas,Crawford,0,73.99175036242004
2064,39109,Ohio,Miami,0,73.97178658509581
1953,37193,North Carolina,Wilkes,0,73.966424236299
1126,22089,Louisiana,St.CharlesParish,0,73.96388892758287
1968,38023,North Dakota,Divide,0,73.95663430442649
1323,27083,Minnesota,Lyon,0,73.95573728651419
1760,34041,New Jersey,Warren,0,73.95143985103309
1920,37127,North Carolina,Nash,0,73.94947620653024
2717,48451,Texas,TomGreen,0,73.93956980158337
69,4003,Arizona,Cochise,0,73.93174252535158
2230,42037,Pennsylvania,Columbia,0,73.92389978667246
1141,22119,Louisiana,WebsterParish,0,73.92092610153111
2347,46037,South Dakota,Day,0,73.91986715635508
353,12119,Florida,Sumter,0,73.91052718670404
865,20015,Kansas,Butler,0,73.89861914386483
2013,39007,Ohio,Ashtabula,0,73.89790247070665
862,20009,Kansas,Barton,0,73.89515776914229
128,5091,Arkansas,Miller,0,73.87730389408436
2940,54007,West Virginia,Braxton,0,73.87650890458602
2178,41007,Oregon,Clatsop,0,73.87434046172807
3061,55137,Wisconsin,Waushara,0,73.87375264482843
3035,55085,Wisconsin,Oneida,0,73.86560057399892
2936,53077,Washington,Yakima,0,73.86523560948366
1422,28107,Mississippi,Panola,0,73.86348552339157
1040,21161,Kentucky,Mason,0,73.85383572867734
508,13299,Georgia,Ware,0,73.85346669336005
1922,37131,North Carolina,Northampton,0,73.81908129788812
2712,48441,Texas,Taylor,0,73.81886708344206
563,16085,Idaho,Valley,0,73.81688249131498
614,17099,Illinois,LaSalle,0,73.81650269353328
1817,36045,New York,Jefferson,0,73.80502461110852
1443,28149,Mississippi,Warren,0,73.80361776544653
254,8071,Colorado,LasAnimas,0,73.80231244973112
93,5021,Arkansas,Clay,0,73.79870368464158
1836,36083,New York,Rensselaer,0,73.79327081186544
565,17001,Illinois,Adams,0,73.78074556904869
260,8083,Colorado,Montezuma,0,73.78037188849387
1557,29217,Missouri,Vernon,0,73.77887010747276
1415,28093,Mississippi,Marshall,0,73.77697041567829
2454,47119,Tennessee,Maury,0,73.77488352354345
1211,26025,Michigan,Calhoun,0,73.7726251035569
1250,26103,Michigan,Marquette,0,73.75997068521346
1180,24037,Maryland,St.Mary's,0,73.75657813410218
1790,35053,New Mexico,Socorro,0,73.74971947669259
713,18093,Indiana,Lawrence,0,73.74869382431072
1786,35045,New Mexico,SanJuan,0,73.74153995694867
161,6007,California,Butte,0,73.74109782085105
2267,42111,Pennsylvania,Somerset,0,73.73700245904188
1531,29161,Missouri,Phelps,0,73.73112313855133
365,13009,Georgia,Baldwin,0,73.73089941626863
345,12103,Florida,Pinellas,0,73.72499208530084
120,5075,Arkansas,Lawrence,0,73.72279564642558
2748,49005,Utah,Cache,0,73.7172702608393
1954,37195,North Carolina,Wilson,0,73.70474075757049
783,19049,Iowa,Dallas,0,73.6912734493148
1874,37035,North Carolina,Catawba,0,73.68773133832536
1278,26159,Michigan,VanBuren,0,73.68549962032667
1553,29209,Missouri,Stone,0,73.68530970844606
449,13179,Georgia,Liberty,0,73.67709542721224
2373,46087,South Dakota,McCook,0,73.67004487887931
1925,37137,North Carolina,Pamlico,0,73.66915354068337
1900,37087,North Carolina,Haywood,0,73.66870013304492
1492,29083,Missouri,Henry,0,73.66826037073902
808,19099,Iowa,Jasper,0,73.66464441894416
2023,39027,Ohio,Clinton,0,73.66455024429916
2243,42063,Pennsylvania,Indiana,0,73.6571047455305
3063,55141,Wisconsin,Wood,0,73.65651579306568
2584,48183,Texas,Gregg,0,73.6554691022352
772,19027,Iowa,Carroll,0,73.65080879839766
2426,47059,Tennessee,Greene,0,73.64296597635786
2038,39057,Ohio,Greene,0,73.6412893138151
1404,28071,Mississippi,Lafayette,0,73.6411385305644
3033,55081,Wisconsin,Monroe,0,73.6373182752022
180,6045,California,Mendocino,0,73.6366243302238
998,21071,Kentucky,Floyd,0,73.62814696195105
1781,35035,New Mexico,Otero,0,73.62172489907263
1970,38027,North Dakota,Eddy,0,73.61751108281076
252,8069,Colorado,Larimer,0,73.61413122237892
800,19083,Iowa,Hardin,0,73.60225746075731
94,5023,Arkansas,Cleburne,0,73.60185869272013
1464,29027,Missouri,Callaway,0,73.59373463081516
2275,42127,Pennsylvania,Wayne,0,73.58941912325689
1560,29223,Missouri,Wayne,0,73.56936362375056
2105,40015,Oklahoma,Caddo,0,73.56654150192074
57,1117,Alabama,Shelby,0,73.55316223576122
1367,27171,Minnesota,Wright,0,73.55274569307123
1007,21089,Kentucky,Greenup,0,73.54982124038429
1599,30071,Montana,Phillips,0,73.54923863414236
2362,46067,South Dakota,Hutchinson,0,73.5473505507531
883,20051,Kansas,Ellis,0,73.54366597492051
1870,37027,North Carolina,Caldwell,0,73.54322257741214
1423,28109,Mississippi,PearlRiver,0,73.54001456093235
2273,42123,Pennsylvania,Warren,0,73.53744311869296
1020,21115,Kentucky,Johnson,0,73.52289029137083
928,20141,Kansas,Osborne,0,73.52073121994496
359,12131,Florida,Walton,0,73.51763626985125
1770,35017,New Mexico,Grant,0,73.51376550463245
1987,38061,North Dakota,Mountrail,0,73.51156640356348
2005,38097,North Dakota,Traill,0,73.50812524803771
781,19045,Iowa,Clinton,0,73.5068316395753
1462,29023,Missouri,Butler,0,73.49511658721019
220,8007,Colorado,Archuleta,0,73.49445595185894
753,18173,Indiana,Warrick,0,73.49406336311503
149,5135,Arkansas,Sharp,0,73.49362329085201
1527,29153,Missouri,Ozark,0,73.4831509546516
2160,40125,Oklahoma,Pottawatomie,0,73.48277528879818
1070,21217,Kentucky,Taylor,0,73.48048214334858
1698,31157,Nebraska,ScottsBluff,0,73.47276309160382
2978,54083,West Virginia,Randolph,0,73.4667364488027
2471,47149,Tennessee,Rutherford,0,73.46095539982367
208,6099,California,Stanislaus,0,73.45581410881427
2163,40131,Oklahoma,Rogers,0,73.45533620324328
801,19085,Iowa,Harrison,0,73.45465938881517
1814,36039,New York,Greene,0,73.45330066355467
1336,27109,Minnesota,Olmsted,0,73.4511373450233
2006,38099,North Dakota,Walsh,0,73.4510827247415
1477,29053,Missouri,Cooper,0,73.45087870517692
828,19139,Iowa,Muscatine,0,73.44878333674836
2083,39147,Ohio,Seneca,0,73.43985968804866
1604,30081,Montana,Ravalli,0,73.43856468298017
2679,48375,Texas,Potter,0,73.43257334894876
1004,21083,Kentucky,Graves,0,73.42104812060877
920,20125,Kansas,Montgomery,0,73.40818713867283
1254,26111,Michigan,Midland,0,73.40501357515843
1794,35061,New Mexico,Valencia,0,73.40332620245054
1793,35059,New Mexico,Union,0,73.40140473316322
133,5101,Arkansas,Newton,0,73.3821062770595
2336,46015,South Dakota,Brule,0,73.37747810438518
1510,29121,Missouri,Macon,0,73.37342078828961
2618,48251,Texas,Johnson,0,73.36991094346332
2166,40137,Oklahoma,Stephens,0,73.36764191933437
380,13039,Georgia,Camden,0,73.36690343257138
1616,30105,Montana,Valley,0,73.36535601785614
1764,35006,New Mexico,Cibola,0,73.3625104521849
794,19071,Iowa,Fremont,0,73.36165723465152
553,16065,Idaho,Madison,0,73.3526465901755
320,12055,Florida,Highlands,0,73.34555693492642
1792,35057,New Mexico,Torrance,0,73.33708576657993
1452,29003,Missouri,Andrew,0,73.32930185309121
1409,28081,Mississippi,Lee,0,73.32927685401262
2039,39059,Ohio,Guernsey,0,73.3254712665105
85,5005,Arkansas,Baxter,0,73.32323242287391
1181,24041,Maryland,Talbot,0,73.31925033819101
1712,31185,Nebraska,York,0,73.31564996381367
507,13297,Georgia,Walton,0,73.31456550642638
1725,32023,Nevada,Nye,0,73.30721637339887
1984,38055,North Dakota,McLean,0,73.30562264126581
1172,24023,Maryland,Garrett,0,73.30144187377077
1019,21113,Kentucky,Jessamine,0,73.29724315954347
2033,39047,Ohio,Fayette,0,73.28999996723081
2955,54037,West Virginia,Jefferson,0,73.28445506128175
1414,28091,Mississippi,Marion,0,73.2827109732228
817,19117,Iowa,Lucas,0,73.26554043285705
2179,41009,Oregon,Columbia,0,73.26540929236872
837,19157,Iowa,Poweshiek,0,73.2642689330316
814,19111,Iowa,Lee,0,73.25444137603151
954,20193,Kansas,Thomas,0,73.25433229111063
1107,22053,Louisiana,JeffersonDavisParish,0,73.25091432583714
2682,48381,Texas,Randall,0,73.23980010251613
3041,55097,Wisconsin,Portage,0,73.23386084955868
1884,37055,North Carolina,Dare,0,73.23319403572481
374,13027,Georgia,Brooks,0,73.23114079287224
1058,21193,Kentucky,Perry,0,73.22960420600324
2116,40037,Oklahoma,Creek,0,73.2281529921653
1728,32031,Nevada,Washoe,0,73.22548012400877
2255,42087,Pennsylvania,Mifflin,0,73.22539493645692
2842,51095,Virginia,JamesCity,0,73.2246107995257
977,21029,Kentucky,Bullitt,0,73.2222052434426
1471,29041,Missouri,Chariton,0,73.2164971464369
1331,27099,Minnesota,Mower,0,73.21288370173336
3084,56041,Wyoming,Uinta,0,73.20876028145851
1509,29117,Missouri,Livingston,0,73.20844084168708
611,17093,Illinois,Kendall,0,73.20668001134494
2734,48485,Texas,Wichita,0,73.20088708791299
1524,29147,Missouri,Nodaway,0,73.19861247684912
1120,22077,Louisiana,PointeCoupeeParish,0,73.19179241985456
2912,53029,Washington,Island,0,73.19037947995918
394,13069,Georgia,Coffee,0,73.18845504222232
118,5071,Arkansas,Johnson,0,73.17756107925409
2951,54029,West Virginia,Hancock,0,73.1754028052391
2749,49007,Utah,Carbon,0,73.17269267825003
853,19189,Iowa,Winnebago,0,73.16873180171422
1684,31129,Nebraska,Nuckolls,0,73.16379089190208
1382,28027,Mississippi,Coahoma,0,73.15537248741028
305,12023,Florida,Columbia,0,73.15394260142122
1159,23025,Maine,Somerset,0,73.15310659339788
2827,51069,Virginia,Frederick,0,73.15231279212622
482,13247,Georgia,Rockdale,0,73.14345201363578
2895,51195,Virginia,Wise,0,73.14125717685334
2422,47051,Tennessee,Franklin,0,73.13639046188055
2479,47165,Tennessee,Sumner,0,73.13205550414494
489,13261,Georgia,Sumter,0,73.12640825202476
1528,29155,Missouri,Pemiscot,0,73.12619825611374
697,18061,Indiana,Harrison,0,73.12027165954268
2345,46033,South Dakota,Custer,0,73.11943461815656
1821,36053,New York,Madison,0,73.11229644594911
