,zip code,num_competitor,county,city,state,population
864,19124,10,Philadelphia,Philadelphia,Pennsylvania,71858.0
865,32137,10,Flagler,Palm Coast,Florida,44396.0
866,33432,10,Palm Beach,Boca Raton,Florida,21017.0
867,74,10,0,0,0,0.0
868,74,10,0,0,0,0.0
869,19106,10,Philadelphia,Philadelphia,Pennsylvania,13536.0
870,112,10,0,0,0,0.0
871,32084,10,St. Johns,Saint Augustine,Florida,36415.0
872,74804,10,Pottawatomie,Shawnee,Oklahoma,21576.0
873,98312,10,Kitsap,Bremerton,Washington,30437.0
874,91723,10,Los Angeles,Covina,California,17664.0
875,98166,10,King,Seattle,Washington,21772.0
876,23294,10,Henrico,Henrico,Virginia,18493.0
877,96150,10,El Dorado,South Lake Tahoe,California,30369.0
878,22903,10,Albemarle,Charlottesville,Virginia,40192.0
879,33322,10,Broward,Fort Lauderdale,Florida,40832.0
880,91606,10,Los Angeles,North Hollywood,California,45003.0
881,23462,10,Virginia Beach,Virginia Beach,Virginia,67963.0
882,23456,10,Virginia Beach,Virginia Beach,Virginia,57705.0
883,91355,10,Los Angeles,Valencia,California,29371.0
884,72756,10,Benton,Rogers,Arkansas,42830.0
885,91740,10,Los Angeles,Glendora,California,26099.0
886,95113,10,Santa Clara,San Jose,California,2550.0
887,98258,10,Snohomish,Lake Stevens,Washington,33545.0
888,22801,10,Rockingham,Harrisonburg,Virginia,40284.0
889,6824,10,Fairfield,Fairfield,Connecticut,36058.0
890,14607,10,Monroe,Rochester,New York,16880.0
891,97232,10,Multnomah,Portland,Oregon,14140.0
892,32507,9,Escambia,Pensacola,Florida,33689.0
893,20109,9,Prince William,Manassas,Virginia,42128.0
894,84115,9,Salt Lake,Salt Lake City,Utah,27627.0
895,30318,9,Fulton,Atlanta,Georgia,57136.0
896,30519,9,Gwinnett,Buford,Georgia,49986.0
897,30519,9,Gwinnett,Buford,Georgia,49986.0
898,464,9,0,0,0,0.0
899,110,9,0,0,0,0.0
900,89502,9,Washoe,Reno,Nevada,44881.0
901,20001,9,District of Columbia,Washington,District of Columbia,47697.0
902,19038,9,Montgomery,Glenside,Pennsylvania,31615.0
903,10128,9,New York,New York,New York,57993.0
904,20876,9,Montgomery,Germantown,Maryland,31703.0
905,94132,9,San Francisco,San Francisco,California,30437.0
906,96825,9,Honolulu,Honolulu,Hawaii,28398.0
907,8809,9,Hunterdon,Clinton,New Jersey,6433.0
908,60706,9,Cook,Harwood Heights,Illinois,22804.0
909,80219,9,Denver,Denver,Colorado,71795.0
910,18512,9,Lackawanna,Scranton,Pennsylvania,11550.0
911,8204,9,Cape May,Cape May,New Jersey,17257.0
912,19131,9,Philadelphia,Philadelphia,Pennsylvania,44649.0
913,94117,9,San Francisco,San Francisco,California,43526.0
914,94111,9,San Francisco,San Francisco,California,4023.0
915,94107,9,San Francisco,San Francisco,California,29708.0
916,21136,9,Baltimore,Reisterstown,Maryland,34347.0
917,94105,9,San Francisco,San Francisco,California,12944.0
918,61801,9,Champaign,Urbana,Illinois,30855.0
919,83651,9,Canyon,Nampa,Idaho,36313.0
920,19355,9,Chester,Malvern,Pennsylvania,26920.0
921,85226,9,Maricopa,Chandler,Arizona,39614.0
922,18052,9,Lehigh,Whitehall,Pennsylvania,27896.0
923,194,9,0,0,0,0.0
924,2906,9,Providence,Providence,Rhode Island,28254.0
925,30144,9,Cobb,Kennesaw,Georgia,59085.0
926,32561,9,Escambia,Gulf Breeze,Florida,10296.0
927,30308,9,Fulton,Atlanta,Georgia,20438.0
928,631,9,Lares,Castaner,Puerto Rico,1481.0
929,32541,9,Okaloosa,Destin,Florida,19085.0
930,30308,9,Fulton,Atlanta,Georgia,20438.0
931,21211,9,Baltimore,Baltimore,Maryland,15735.0
932,18901,9,Bucks,Doylestown,Pennsylvania,27875.0
933,48823,9,Ingham,East Lansing,Michigan,50788.0
934,20121,9,Fairfax,Centreville,Virginia,28120.0
935,19301,9,Chester,Paoli,Pennsylvania,6689.0
936,76541,9,Bell,Killeen,Texas,18396.0
937,21286,9,Baltimore,Towson,Maryland,19711.0
938,78745,9,Travis,Austin,Texas,63287.0
939,15206,9,Allegheny,Pittsburgh,Pennsylvania,29197.0
940,10028,9,New York,New York,New York,47962.0
941,78666,9,Hays,San Marcos,Texas,81844.0
942,96743,9,Hawaii,Kamuela,Hawaii,13517.0
943,43607,9,Lucas,Toledo,Ohio,19920.0
944,43623,9,Lucas,Toledo,Ohio,19457.0
945,78704,9,Travis,Austin,Texas,51422.0
